ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5936	0.5566	0.5207	0.4980	0.4557	29596
3	0.6347	0.6024	0.5727	0.5544	0.5148	10681
4	0.6742	0.6450	0.6154	0.5995	0.5624	7207
5	0.6947	0.6680	0.6412	0.6233	0.5926	4238
6	0.7150	0.6889	0.6634	0.6481	0.6202	2997
7	0.7305	0.7069	0.6808	0.6655	0.6326	2256
8	0.7411	0.7177	0.6941	0.6777	0.6465	1637
9	0.7563	0.7322	0.7086	0.6959	0.6670	1358
10	0.7620	0.7396	0.7178	0.7039	0.6783	1138
11	0.7697	0.7467	0.7247	0.7109	0.6762	880
12	0.7776	0.7564	0.7317	0.7214	0.6911	773
13	0.7830	0.7626	0.7419	0.7265	0.6989	630
14	0.7893	0.7684	0.7452	0.7307	0.7130	554
15	0.7964	0.7747	0.7519	0.7383	0.7214	512
16	0.8010	0.7805	0.7602	0.7448	0.7175	398
17	0.8043	0.7853	0.7646	0.7536	0.7235	402
18	0.8078	0.7901	0.7703	0.7532	0.7286	336
19	0.8122	0.7959	0.7739	0.7625	0.7356	317
20	0.8147	0.7957	0.7781	0.7675	0.7439	313
21	0.8208	0.8020	0.7778	0.7657	0.7468	244
22	0.8242	0.8019	0.7832	0.7711	0.7534	238
23	0.8265	0.8097	0.7879	0.7725	0.7550	204
24	0.8268	0.8115	0.7884	0.7784	0.7544	192
25	0.8268	0.8062	0.7881	0.7826	0.7672	183
26	0.8331	0.8152	0.8013	0.7841	0.7616	169
27	0.8326	0.8158	0.7978	0.7908	0.7769	157
28	0.8360	0.8170	0.7974	0.7814	0.7641	141
29	0.8429	0.8228	0.8094	0.7998	0.7923	120
30	0.8428	0.8209	0.8065	0.8003	0.7911	134
31	0.8451	0.8236	0.8074	0.7968	0.7656	117
32	0.8486	0.8309	0.8161	0.8024	0.7914	114
33	0.8534	0.8425	0.8233	0.8056	0.7668	104
34	0.8498	0.8325	0.8159	0.8116	0.7909	93
35	0.8530	0.8378	0.8233	0.8057	0.7963	92
36	0.8566	0.8395	0.8252	0.8173	0.8048	110
37	0.8543	0.8340	0.8239	0.8117	0.7838	101
38	0.8640	0.8498	0.8334	0.8141	0.7998	73
39	0.8565	0.8425	0.8279	0.8210	0.7994	74
40	0.8609	0.8481	0.8233	0.8164	0.8048	73
41	0.8576	0.8378	0.8213	0.8177	0.8074	61
42	0.8672	0.8511	0.8322	0.8226	0.8008	79
43	0.8609	0.8461	0.8335	0.8182	0.7883	59
44	0.8653	0.8500	0.8330	0.8299	0.8240	68
45	0.8637	0.8475	0.8345	0.8247	0.8177	72
46	0.8652	0.8489	0.8340	0.8301	0.8059	61
